reps,t,Quantum_F,Classical_F,Ratio
0,0.0,1.0,1.0,1.0
1,0.2,1.000000105296978,1.0000002117605478,0.9999998935364528
2,0.4,1.000000105296978,0.99999988258619,1.0000002227108142
3,0.6000000000000001,1.000000105296978,0.9999997723649764,1.0000003329320775
4,0.8,1.000000105296978,0.9999989559884305,1.0000011493097474
5,1.0,1.000000105296978,0.99999781200041,1.0000022933015857
6,1.2000000000000002,1.000000105296978,0.9999958202975302,1.0000042850173578
7,1.4000000000000001,1.000000105296978,0.9999922812500458,1.0000078241073245
8,1.6,1.000000105296978,0.999987636130056,1.000012469321091
9,1.8,1.000000105296978,0.9999803643647065,1.0000197413199048
10,2.0,1.000000105296978,0.9999706176258049,1.0000294885376164
11,2.2,1.000000105296978,0.9999574128604047,1.0000426942547995
12,2.4000000000000004,1.000000105296978,0.999940988928588,1.0000591198571163
13,2.6,1.000000105296978,0.9999200367320187,1.0000800749680154
14,2.8000000000000003,1.000000105296978,0.9998941061547189,1.0001060103681048
15,3.0,1.000000105296978,0.9998617301583429,1.0001383942743896
16,3.2,1.000000105296978,0.9998232025294341,1.0001769340490363
17,3.4000000000000004,1.000000105296978,0.9997770624163436,1.0002230926163633
18,3.6,1.000000105296978,0.9997223439126908,1.000277838527846
19,3.8000000000000003,1.000000105296978,0.999658651185959,1.0003415707057743
20,4.0,1.000000105296978,0.9995848761955399,1.0004154015445077
21,4.2,1.000000105296978,0.9995000471707104,1.000500308256796
22,4.4,1.0000001052969778,0.9994034058960244,1.0005970556008046
23,4.6000000000000005,1.000000105296978,0.9992936967824987,1.000706907805737
24,4.800000000000001,1.000000105296978,0.9991697579741892,1.0008310372848677
25,5.0,1.000000105296978,0.9990306344410806,1.0009704115394216
26,5.2,1.000000105296978,0.9988761117455407,1.0011252582159293
27,5.4,1.000000105296978,0.9987044219139625,1.001297364219668
28,5.6000000000000005,1.000000105296978,0.9985146847490133,1.001487630147711
29,5.800000000000001,1.000000105296978,0.998305872735149,1.001697107678218
30,6.0,1.000000105296978,0.9980766045693827,1.0019272075097134
31,6.2,1.000000105296978,0.9978264731826978,1.0021783668530533
32,6.4,1.000000105296978,0.997554265152329,1.0024518366870754
33,6.6000000000000005,1.000000105296978,0.9972588606620276,1.0027487794223564
34,6.800000000000001,1.000000105296978,0.9969390683196706,1.0030704353702045
35,7.0,1.000000105296978,0.9965943797669626,1.003417363773225
36,7.2,1.000000105296978,0.9962236429561104,1.0037907776708266
37,7.4,1.000000105296978,0.9958261511499026,1.0041914486200787
38,7.6000000000000005,1.000000105296978,0.995400419588008,1.0046209400945139
39,7.800000000000001,1.000000105296978,0.9949459618661819,1.0050798170197266
40,8.0,1.0000001052969778,0.9944621103971674,1.005568834490435
41,8.200000000000001,1.000000105296978,0.9939473099193974,1.0060896541669513
42,8.4,1.000000105296978,0.9934018809106056,1.0066420494194397
43,8.6,1.000000105296978,0.9928243584953036,1.0072276095366453
44,8.8,1.000000105296978,0.9922138273969465,1.0078473789469944
45,9.0,1.000000105296978,0.9915700352794895,1.0085017393805293
46,9.200000000000001,1.000000105296978,0.9908924087462776,1.0091914081390774
47,9.4,1.0000001052969778,0.9901799538257947,1.0099175421934574
48,9.600000000000001,1.000000105296978,0.9894326403040266,1.0106803278591097
49,9.8,1.000000105296978,0.9886494509425013,1.0114809696638742
50,10.0,1.000000105296978,0.9878300539247724,1.012319984924383
51,10.200000000000001,1.000000105296978,0.9869742140760747,1.0131978029771498
52,10.4,1.000000105296978,0.98608141713767,1.0141151510589361
53,10.600000000000001,1.000000105296978,0.9851516214981266,1.0150722827581313
54,10.8,1.000000105296978,0.9841836260294345,1.016070658817352
55,11.0,1.000000105296978,0.9831784070491221,1.0171095074172185
56,11.200000000000001,1.000000105296978,0.9821349426002655,1.0181901304207885
57,11.4,1.000000105296978,0.9810530648702048,1.0193129618623433
58,11.600000000000001,1.000000105296978,0.9799330924098375,1.0204779418539607
59,11.8,1.0000001052969778,0.9787748256880354,1.0216855593869836
60,12.0,1.000000105296978,0.977578064234274,1.0229363177049875
61,12.200000000000001,1.000000105296978,0.976343546893742,1.0242297483078573
62,12.4,1.000000105296978,0.9750705795848822,1.0255668935501152
63,12.600000000000001,1.000000105296978,0.9737589464766196,1.026948310888755
64,12.8,1.000000105296978,0.9724095922696099,1.0283733451898307
65,13.0,1.000000105296978,0.9710229682109286,1.0298418657793837
66,13.200000000000001,1.000000105296978,0.9695990068937328,1.0313543002695928
67,13.4,1.000000105296978,0.9681375499747755,1.0329111863526341
68,13.600000000000001,1.000000105296978,0.9666385458755422,1.0345129620205846
69,13.8,1.000000105296978,0.9651039648882173,1.0361579080371954
70,14.0,1.000000105296978,0.9635335481393658,1.0378466917192775
71,14.200000000000001,1.000000105296978,0.9619265910753587,1.0395804779438067
72,14.4,1.000000105296978,0.9602850097882211,1.0413576126920023
73,14.600000000000001,1.000000105296978,0.9586089509727098,1.0431783515919273
74,14.8,1.000000105296978,0.9568989910496797,1.045042491057513
75,15.0,1.000000105296978,0.9551553739787328,1.0469501952666014
76,15.200000000000001,1.000000105296978,0.9533783540774539,1.0489016254880656
77,15.4,1.000000105296978,0.9515698021293355,1.0508951661341812
78,15.600000000000001,1.0000001052969778,0.9497301158017284,1.052930815458888
79,15.8,1.000000105296978,0.9478594889981813,1.0550088034186433
80,16.0,1.000000105296978,0.9459581641944719,1.0571293141156253
81,16.2,1.000000105296978,0.9440285257234129,1.0592901358893514
82,16.400000000000002,1.000000105296978,0.9420700808023261,1.0614922665257718
83,16.6,1.000000105296978,0.9400836896596811,1.063735193256025
84,16.8,1.000000105296978,0.9380708105375497,1.06601771856001
85,17.0,1.000000105296978,0.9360318263498724,1.0683398546356644
86,17.2,1.000000105296978,0.9339681570723212,1.0707004277658083
87,17.400000000000002,1.000000105296978,0.9318800112033179,1.0730996408064362
88,17.6,1.0000001052969778,0.9297691279499172,1.075535931701578
89,17.8,1.000000105296978,0.9276348056442854,1.0780105481299094
90,18.0,1.000000105296978,0.9254799391464242,1.0805205634379111
91,18.2,1.000000105296978,0.9233040506046943,1.083066953558856
92,18.400000000000002,1.000000105296978,0.92110910745435,1.0856478317326135
93,18.6,1.000000105296978,0.9188951211231324,1.0882635921221497
94,18.8,1.000000105296978,0.9166639361279313,1.090912455355303
95,19.0,1.000000105296978,0.9144160787591764,1.0935941837920604
96,19.200000000000003,1.000000105296978,0.9121529922142002,1.0963074328896667
97,19.400000000000002,1.000000105296978,0.9098747300127674,1.0990525094404435
98,19.6,1.000000105296978,0.9075833056186267,1.1018273464333483
99,19.8,1.0000001052969778,0.905278994368776,1.1046319549193206
100,20.0,1.000000105296978,0.9029631603962099,1.1074650098218728
